time,open,high,low,close,tick_volume,spread,real_volume
2016-06-30 03:00:00,49.83,49.88,49.75,49.84,156,0,0
2016-06-30 04:00:00,49.83,49.84,49.67,49.8,206,0,0
2016-06-30 05:00:00,49.79,49.83,49.71,49.73,156,0,0
2016-06-30 06:00:00,49.72,49.79,49.69,49.73,76,0,0
2016-06-30 07:00:00,49.74,49.75,49.7,49.74,34,0,0
2016-06-30 08:00:00,49.75,49.75,49.64,49.65,111,0,0
2016-06-30 09:00:00,49.66,49.87,49.64,49.85,163,0,0
2016-06-30 10:00:00,49.84,49.84,49.43,49.77,668,0,0
2016-06-30 11:00:00,49.78,49.9,49.55,49.71,591,0,0
2016-06-30 12:00:00,49.72,49.82,49.61,49.75,478,0,0
2016-06-30 13:00:00,49.76,49.77,49.62,49.77,294,0,0
2016-06-30 14:00:00,49.74,49.75,49.36,49.4,386,0,0
2016-06-30 15:00:00,49.39,49.39,49.07,49.07,550,0,0
2016-06-30 16:00:00,49.08,49.23,48.89,48.93,1126,0,0
2016-06-30 17:00:00,48.94,49.33,48.93,49.33,1068,0,0
2016-06-30 18:00:00,49.34,49.41,48.83,48.85,1577,0,0
2016-06-30 19:00:00,48.84,49.18,48.8,49.02,1195,0,0
2016-06-30 20:00:00,49.01,49.4,48.83,49.39,1583,0,0
2016-06-30 21:00:00,49.38,49.59,48.48,48.7,2810,0,0
2016-06-30 22:00:00,48.71,48.86,48.63,48.7,663,0,0
2016-06-30 23:00:00,48.69,48.69,48.54,48.67,141,0,0
2016-07-01 01:00:00,48.65,48.81,48.65,48.76,113,0,0
2016-07-01 02:00:00,48.75,48.77,48.74,48.77,37,0,0
2016-07-01 03:00:00,48.76,48.98,48.76,48.92,153,0,0
2016-07-01 04:00:00,48.92,48.94,48.85,48.88,143,0,0
2016-07-01 05:00:00,48.87,48.97,48.85,48.95,83,0,0
2016-07-01 06:00:00,48.96,48.99,48.9,48.92,111,0,0
2016-07-01 07:00:00,48.92,48.97,48.89,48.96,112,0,0
2016-07-01 08:00:00,48.97,48.97,48.91,48.96,78,0,0
2016-07-01 09:00:00,48.94,48.94,48.69,48.81,344,0,0
2016-07-01 10:00:00,48.8,49.0,48.67,48.82,512,0,0
2016-07-01 11:00:00,48.83,48.86,48.37,48.4,836,0,0
2016-07-01 12:00:00,48.39,48.55,48.22,48.48,442,0,0
